title,price,retailer_sku_code,urls,desc
Kraft Knox Gelatine 28G,$2.35,prod-data-id6547,https://a4ucontent.blob.core.windows.net/images/0007243_0.png,"Kraft Knox <br/>
Gelatine <br/>
<span style =""color:grey""> 28g </span>
"
C21 Sultana 150G(N),$1.50,prod-data-id7050,https://a4ucontent.blob.core.windows.net/images/0051743_0.png,"Happy Family <br/>
C21 Sultana (Product Of Turkey)<br/>
<span style =""color:grey""> 150G </span>"
C15 Colorato 60G(N),$3.00,prod-data-id7066,https://a4ucontent.blob.core.windows.net/images/0048027_0.png,"Happy Family <br/>
C15 Colorato (Silver Sugar Pearls) <br/>
<span style =""color:grey;""> 60G (N) </span>"
Ship Yellow 258 1/2OZ,$1.50,prod-data-id8307,https://a4ucontent.blob.core.windows.net/images/0007458_0.png,"Ship <br/>
Yellow 258 <br/>
<span style =""color:grey""> 1/2oz </span>"
Ship Oren 284 1/2OZ,$1.50,prod-data-id8308,https://a4ucontent.blob.core.windows.net/images/0007457_0.png,"Ship <br/>
Orange Flavour 284 <br/>
<span style =""color:grey""> 1/2oz </span>"
Ship Apple Green 567 1/2OZ,$1.70,prod-data-id8310,https://a4ucontent.blob.core.windows.net/images/0007461_0.png,"Ship <br/>
Apple Green 567 <br/>
<span style =""color:grey""> 1/2oz </span>
"
Ship Rose Pink 265 1/2OZ,$2.05,prod-data-id8311,https://a4ucontent.blob.core.windows.net/images/0007463_0.png,"Ship <br/>
Rose Pink 265 <br/>
<span style =""color:grey""> 1/2Oz </span>"
Ship Yellow 258 2OZ,$2.90,prod-data-id8312,https://a4ucontent.blob.core.windows.net/images/0007465_0.png,"Ship <br/>
Yellow 258 <br/>
<span style =""color:grey""> 2Oz </span> 
"
Ship Oren 284 2OZ,$2.90,prod-data-id8313,https://a4ucontent.blob.core.windows.net/images/0007466_0.png,"Ship <br/>
Orange Flavour 284 <br/>
<span style =""color:grey""> 2Oz </span>"
Ship Red 279 2OZ,$2.90,prod-data-id8314,https://a4ucontent.blob.core.windows.net/images/0007464_0.png,"Ship <br/>
Red 279 <br/>
<span style =""color:grey""> 2Oz </span>"
BAKER'S Choc Semi Sweet 113G,$3.15,prod-data-id8430,https://a4ucontent.blob.core.windows.net/images/0007476_0.png,"Baker's <br/>
Chocolate Semi Sweet <br/>
<span style =""color:grey""> 113g </span>"
Bake King Lye Water 200G,$2.55,prod-data-id121519,https://a4ucontent.blob.core.windows.net/images/0051742_0.png,"Bake King <br/>
Lye Water <br/>
<span style =""color:grey""> 200G</span>
"
REESE'S Peanut Butter Chips 283G,$5.50,prod-data-id124693,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,
Annes Secret Recipe Chocolate Fudge 300G,$5.80,prod-data-id126615,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"<div style=""max-height:250px; overflow:scroll;"">Annes<br/>Secret Recipe Chocolate Fudge<br/><span style =""color:grey""> 300G</span><br/>You will need:<br/>-1/2 Cup Vegetable Oil<br/>-2 Large Eggs<br/>-2/3 Cup Milk<br/>1.Heat<br/>Oven to 160C,Use papercups to line a 12 cupcakes baking tray.<br/>2.Beat<br/>Cake mix,eggs,milk and oil in a large bowl  on LOW speed for 30secs.Increase speed to HIGH and beat for 3mins.<br/>3.Bake<br/>At 160C for 10-15mins. Insert toothpick in the center,should come out clean when done. Cool 10min before frosting.<br/>4.Final Product<br/>Add Chocolate Fudge on cupcake and decorate.</div>"
