sku,offer,image,title,old_price,retailer_sku_code,urls,desc,price,categories,out_of_stock
,,,Santa X'MAS Jelly Pop 12S 336G,,prod-data-id15991,https://a4ucontent.blob.core.windows.net/images/0052009_0.png,"Santa X'MAS Jelly Pop<br/>
<span style=""color: grey;"">12S (336G)</span>
",$7.80,,
,,,Spangler 910 Color C/Cane 12S 170G,,prod-data-id115573,https://a4ucontent.blob.core.windows.net/images/0052014_0.png,"Spangler 910 Color Candy Cane<br/>
(Cherry Flavored) <br/>
<span style=""color: grey;"">12S (170G)</span>
  ",$3.90,,
,,,Spangler 927 R&W Candy Cane 12S 170G,,prod-data-id115572,https://a4ucontent.blob.core.windows.net/images/0052013_0.png,"Spangler 927 R&W Candy Cane<br/>
(Natural Peppermint)<br/>
<span style=""color: grey;"">12S (170G)</span>",$3.90,,
,,,Spangler 932 R/Gw Peppermint 12S 170G,,prod-data-id115571,https://a4ucontent.blob.core.windows.net/images/0052012_0.png,"Spangler 932 R/Gw Peppermint<br/>
<span style=""color: grey;"">12S (170G)</span> ",$3.90,,
,,,Cmm Fried Shallots 100G,,prod-data-id119593,https://a4ucontent.blob.core.windows.net/images/0043653_0.png,"CMM / Housebrand <br/>
Fried Shallots <br/>
<span style=""color:gray""> 100G </span>",$1.50,,
,,,V109 Fried Shallot 120G(N),,prod-data-id40154,https://a4ucontent.blob.core.windows.net/images/0010865_0.png,,$1.65,,
,,,Mony Crackers (Prawn) 200G,,prod-data-id7672,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Mony Crackers (Prawn) <br/>
<span style =""color:grey""> 200g </span>",$1.00,,
,,,Ks Fried Shallot W/Oil 350G,,prod-data-id39574,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Ks <br/>
Fried Shallot <br/>
<span style =""color:grey""> 350G </span>",$4.35,,
,,,Stag Brand Appalam 120G,,prod-data-id40921,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Stag Brand <br/>
Appalam <br/>
<span style =""color:grey""> 120g </span>",$1.35,,
,,,Fried Onion With Oil 100% Pure 180G,,prod-data-id125590,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Fried Onion With 100% Pure Oil <br/>
<span style =""color:grey""> 180G </span>",$3.50,,
,,,Fried Garlic With Oil 100% Pure 180G,,prod-data-id125591,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Fried Garlic With 100% Pure Oil <br/>
<span style =""color;grey""> 180G </span>",$3.50,,
,,,Cap Kapal Inang-Inang Pulut 300G,,prod-data-id39665,https://a4ucontent.blob.core.windows.net/images/0007536_0.png,"Cap Kapal <br/>
Inang-Inang Pulut <br/>
<span style =""color:grey""> 300g </span>",$1.95,,
,,,Fried Shallot 200G,,prod-data-id39859,https://a4ucontent.blob.core.windows.net/images/0010920_0.png,,$4.80,,
,,,Fried Garlic 80G,,prod-data-id125592,https://a4ucontent.blob.core.windows.net/images/default-image_0.png,"Fried Garlic <br/>
<span style =""color:grey""> 80G </span>",$3.50,,
,,,Anarkali Appalam 120G,,prod-data-id39937,https://a4ucontent.blob.core.windows.net/images/0010918_0.png,,$0.85,,
,,,House Appalam 120G,,prod-data-id120989,https://a4ucontent.blob.core.windows.net/images/0043933_0.png,"House Brand <br/>
Appalam <br/>
Vegetable Crackers <br/>
<span style=""color:gray""> 120G </span>",$0.80,,
,,,House Leaf Appalam 200G,,prod-data-id121046,https://a4ucontent.blob.core.windows.net/images/0046227_0.png,"House Brand <br/>
Leaf Appalam <br/>
<span style=""color:gray""> 200G </span>",$1.20,,
