sku,description,offer,image,title,old_price,retailer_sku_code,urls,price,categories,out_of_stock
prod-data-id58352,"Good's Sumo Special <br/>
<span style=""color:grey"">130g</span>
",,https://a4ucontent.blob.core.windows.net/images/0024210_0.png,GOOD'S Sumo Special 130G,,,https://allforyou.sg/traditional-pastriescandies-2,$1.30,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id14031,"Ma La Gao (马拉糕)<br/>
Steam Cake<br/>
<span style=""color: grey;"">285 g</span>",,https://a4ucontent.blob.core.windows.net/images/0049753_0.png,Steam Cake (Malagao) 258G,,,https://allforyou.sg/traditional-pastriescandies-2,$1.90,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",True
prod-data-id14680,"SingLong<br/> 
Peanut Candy<br/> 
<span style=""color: grey;"">200G</span>
",,https://a4ucontent.blob.core.windows.net/images/0049764_0.png,SL Peanut Candy 200G,,,https://allforyou.sg/traditional-pastriescandies-2,$2.50,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58350,"Good's<br/> 
Shat Kek Ma<br/> 
<span style=""color: grey;"">180G</span>
",,https://a4ucontent.blob.core.windows.net/images/0049785_0.png,GOOD'S Shat Kek Ma 180G,,,https://allforyou.sg/traditional-pastriescandies-2,$2.00,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58354,"Good's<br/> 
Sweet Tow Sar Biscuits<br/>
<span style=""color: grey;"">200G</span>",,https://a4ucontent.blob.core.windows.net/images/0049778_0.png,GOOD'S Sweet Tow SAR(WHITE)200G,,,https://allforyou.sg/traditional-pastriescandies-2,$1.30,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58361,"Good's<br/> 
King Pastry<br/>
<span style=""color: grey;"">450G</span>
",,https://a4ucontent.blob.core.windows.net/images/0049773_0.png,GOOD'S King Pastry 450G,,,https://allforyou.sg/traditional-pastriescandies-2,$2.40,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58367,"Good's<br/> 
Traditional Cake<br/>
<span style=""color: grey;"">320G</span>
",,https://a4ucontent.blob.core.windows.net/images/0049758_0.png,Good's Traditional Cake 320G,,,https://allforyou.sg/traditional-pastriescandies-2,$2.00,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58502,"Good's <br/>
Peanut Candy <br/>
<span style= ""color: gray"">110G</span>",,https://a4ucontent.blob.core.windows.net/images/0049334_0.png,GOOD'S Peanut Candy 110G,,,https://allforyou.sg/traditional-pastriescandies-2,$1.20,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id58946,"Happy Family <br/>
Iced Gem Biscuit <br/>
<span style= ""color: gray"">50G</span>",,https://a4ucontent.blob.core.windows.net/images/0010449_0.png,KCH43 Iced Gem 50GM(N),,,https://allforyou.sg/traditional-pastriescandies-2,$0.75,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
prod-data-id59061,"Good's <br/>
Ribbon Twists <br/>
<span style= ""color: gray"">130G</span>",,https://a4ucontent.blob.core.windows.net/images/0049759_0.png,GOOD'S Ribbon Twists 130G,,,https://allforyou.sg/traditional-pastriescandies-2,$1.20,"[u'Breakfast & Dairy', u'Traditional Pastries/Candies']",False
