sku,offer,image,title,old_price,retailer_sku_code,urls,desc,price,categories,out_of_stock
127054,False,https://a4ucontent.blob.core.windows.net/images/0052022_0.png,Dole Konjac Apple Flavour Jelly 6x22G,,prod-data-id127054,https://a4ucontent.blob.core.windows.net/images/0052022_0.png,"Produce of Japan <br/> 
Dole Apple Flavour Konjac Jelly <br/> 
日本Dole果冻 （苹果口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
127050,False,https://a4ucontent.blob.core.windows.net/images/0052018_0.png,Dole Konjac Banana Flavour Jelly 6x22G,,prod-data-id127050,https://a4ucontent.blob.core.windows.net/images/0052018_0.png,"Produce of Japan <br/> 
Dole Banana Flavour Konjac Jelly <br/> 
日本Dole果冻 （香蕉口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
127052,False,https://a4ucontent.blob.core.windows.net/images/0052020_0.png,Dole Konjac Grape Flavour Jelly 6x22G,,prod-data-id127052,https://a4ucontent.blob.core.windows.net/images/0052020_0.png,"Produce of Japan <br/> 
Dole Grape Flavour Konjac Jelly <br/> 
日本Dole果冻 （葡萄口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
127053,False,https://a4ucontent.blob.core.windows.net/images/0052021_0.png,Dole Konjac Mango Flavour Jelly 6x22G,,prod-data-id127053,https://a4ucontent.blob.core.windows.net/images/0052021_0.png,"Produce of Japan <br/> 
Dole Mango Flavour Konjac Jelly <br/> 
日本Dole果冻 （芒果口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
127051,False,https://a4ucontent.blob.core.windows.net/images/0052019_0.png,Dole Konjac Peach Flavour Jelly 6x22G,,prod-data-id127051,https://a4ucontent.blob.core.windows.net/images/0052019_0.png,"Produce of Japan <br/> 
Dole Peach Flavour Konjac Jelly <br/> 
日本Dole果冻 （桃子口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
127049,False,https://a4ucontent.blob.core.windows.net/images/0052016_0.png,Dole Konjac Pineapple Flavor Jelly 6x22G,,prod-data-id127049,https://a4ucontent.blob.core.windows.net/images/0052016_0.png,"Produce of Japan <br/> 
Dole Pineapple Flavour Konjac Jelly <br/> 
日本Dole果冻 （黄梨口味）<br/> 
<small><span style= ""color: gray""> Net weight: 132g (22g x 6 sachets) </span></small><br/> <br/> 

<small><b
style=""color:orange"">Dole Konjac Jelly </b> is a fruity and tasty jelly made from well-selected konjac flour. It is rich in dietary fibre, which provides a host of health benefits to the digestive system.  <small>
",$2.50,,False
86059,False,https://a4ucontent.blob.core.windows.net/images/0043277_0.png,Chill Minced Beef 220G,,prod-data-id86059,https://a4ucontent.blob.core.windows.net/images/0043277_0.png,"Jean Fresh<br/>
Chilled Minced Beef<br/>
牛肉馅 <br/>
<span style=""color: grey"">220G</span>",$3.60,,False
86210,False,https://a4ucontent.blob.core.windows.net/images/0051453_0.png,Chill Omasum Beef,,prod-data-id86210,https://a4ucontent.blob.core.windows.net/images/0051453_0.png,"Chill Omasum Beef <br/>
牛肉瓣胃<br/>
<span style=""color: grey;"">230G</span>",$3.60,,False
117839,False,https://a4ucontent.blob.core.windows.net/images/0043279_0.png,JF Chill Stir-Fry Beef Cubes 200G,,prod-data-id117839,https://a4ucontent.blob.core.windows.net/images/0043279_0.png,"Jean Fresh <br/>
Stir-Fry Beef Cubes <br/>
新鲜牛肉块 <br/>
<span style=""color: grey;"">200 g</span>",$5.30,,False
117841,False,https://a4ucontent.blob.core.windows.net/images/0043280_0.png,JF Chill Stir-Fry Beef Slices 200G,,prod-data-id117841,https://a4ucontent.blob.core.windows.net/images/0043280_0.png,"Jean Fresh <br/>
Chill Stir-Fry Beef Slices <br/>
新鲜牛肉片 <br/>
<span style= ""color: gray"">200G</span>",$5.30,,False
